"index";"Company";"TypeName";"Inches";"screen_size";"Resolution_width";"Resolution_height";"IPS_panel";"Touchscreen";"Cpu_brand";"Cpu_name";"Cpu_speed";"Ram";"Memory_type";"Primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price";"ppi"
34;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"AMD";" Radeon R5 M430";"window";2.2;18595;141
35;"HP";"Notebook";14.0;"medium";1366;768;0;0;"Intel";"Celeron Dual";"1.60";4;"SSD";"32";"0";"Intel";" HD Graphics 400";"window";1.44;34472;112
36;"Apple";"Ultrabook";15.4;"medium";2880;1800;1;0;"Intel";"Core i7";"2.90";16;"SSD";"512";"0";"AMD";" Radeon Pro 560";"macos";1.83;13267;221
37;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";" HD Graphics 620";"window";1.9;59620;141
38;"Asus";"Gaming";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"2.80";12;"HDD";"1024";"0";"Nvidia";" GeForce GTX 1050 Ti";"linux";3.0;19554;127
39;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.40";8;"HDD";"1024";"0";"Nvidia";" GeForce 940MX";"N/A";2.2;71395;141
40;"Microsoft";"Ultrabook";13.5;"small";2256;1504;0;1;"Intel";"Core i5";"2.50";4;"SSD";"128";"0";"Intel";" HD Graphics 620";"window";1.25;35112;201
41;"Dell";"Ultrabook";13.3;"small";1920;1080;1;1;"Intel";"Core i5";"1.60";8;"SSD";"128";"0";"Intel";" UHD Graphics 620";"window";1.22;52161;166
42;"Dell";"Ultrabook";13.3;"small";1920;1080;1;0;"Intel";"Core i7";"1.80";64;"SSD";"256";"0";"AMD";" Radeon 530";"window";1.4;22106;166
43;"Lenovo";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1050";"window";2.5;26037;141
44;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"AMD";" Radeon 530";"window";2.2;46833;141
45;"HP";"Notebook";15.6;"medium";1366;768;0;0;"AMD";"E-Series E2-9000e";"1.50";4;"HDD";"500";"0";"AMD";" Radeon R2";"N/A";1.86;20726;100
46;"Dell";"2 in 1 Convertible";13.3;"small";1920;1080;0;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.62;63563;166
47;"MSI";"Gaming";17.3;"large";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1050";"window";2.7;69211;127
48;"HP";"Ultrabook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.91;79867;141
49;"Acer";"Notebook";14.0;"medium";1366;768;0;0;"Intel";"Core i3";"2.00";8;"HDD";"1024";"0";"Intel";" HD Graphics 520";"window";2.1;78854;112
50;"Dell";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";" HD Graphics 520";"window";2.3;27865;100
51;"Asus";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";8;"HDD";"1024";"0";"Nvidia";" GeForce GTX 1050";"window";2.2;67239;141
52;"Apple";"Ultrabook";13.3;"small";1440;900;0;0;"Intel";"Core i5";"1.60";8;"Flash Storage";"128";"0";"Intel";" HD Graphics 6000";"macos";1.35;36337;128
53;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"HDD";"2048";"0";"Intel";" HD Graphics 620";"N/A";2.2;73473;141
54;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";" Radeon 530";"window";2.2;53227;141
55;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"Hybrid";"128";"1024";"Intel";" UHD Graphics 620";"window";2.02;74539;141
56;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.90";8;"SSD";"256";"256";"Intel";" UHD Graphics 620";"window";1.88;75604;141
57;"HP";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Nvidia";" GeForce 930MX";"window";2.5;69211;127
58;"Acer";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Nvidia";" GeForce MX130";"window";2.2;38468;141
59;"Chuwi";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Atom x5-Z8300";"1.44";4;"Flash Storage";"64";"0";"Intel";" HD Graphics";"window";1.89;86793;141
60;"HP";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"Hybrid";"128";"1024";"Nvidia";" GeForce 930MX";"window";2.5;34046;127
61;"Asus";"Notebook";14.0;"medium";1366;768;0;0;"AMD";"E-Series E2-6110";"1.50";2;"Flash Storage";"32";"0";"AMD";" Radeon R2";"window";1.65;57756;112
62;"Dell";"Ultrabook";15.6;"medium";1920;1080;1;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.88;60224;141
63;"HP";"Notebook";17.3;"large";1920;1080;0;0;"AMD";"A6-Series 9220";"2.50";4;"HDD";"500";"0";"AMD";" Radeon 530";"window";2.71;30050;127
64;"Apple";"Ultrabook";12.0;"small";2304;1440;1;0;"Intel";"Core i5";"1.30";8;"SSD";"512";"0";"Intel";" HD Graphics 615";"macos";0.92;59567;226
65;"Dell";"Ultrabook";13.3;"small";3200;1800;0;1;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";" UHD Graphics 620";"window";1.2;25521;276
66;"HP";"Notebook";14.0;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.63;107306;157
67;"Apple";"Ultrabook";13.3;"small";1440;900;0;0;"Intel";"Core i5";"1.60";8;"Flash Storage";"256";"0";"Intel";" HD Graphics 6000";"macos";1.35;119427;128
68;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"128";"0";"AMD";" R4 Graphics";"window";2.2;18328;141
69;"Lenovo";"Notebook";14.0;"medium";1366;768;0;0;"Intel";"Celeron Dual";"1.10";4;"Flash Storage";"64";"0";"Intel";" HD Graphics 500";"window";1.44;33513;112
70;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"AMD";"A9-Series 9420";"3.00";4;"HDD";"1024";"0";"AMD";" Radeon R5";"window";2.1;67719;100
71;"Dell";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"2.80";16;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1050 Ti";"window";2.65;23816;141
72;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Intel";" HD Graphics 620";"linux";2.1;66561;100
73;"HP";"Ultrabook";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";" GeForce GTX 940MX";"window";1.83;47899;141
74;"Dell";"Notebook";17.3;"large";1920;1080;1;0;"Intel";"Core i5";"1.60";8;"Hybrid";"128";"1024";"AMD";" Radeon 530";"window";2.8;26533;127
75;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.96;24029;141
76;"HP";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Intel";" HD Graphics 620";"window";1.86;100699;100
77;"Asus";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"2.80";16;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1060";"window";2.2;43263;141
78;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Nvidia";" GeForce 930MX ";"window";2.1;57649;141
79;"Dell";"Ultrabook";13.3;"small";1920;1080;1;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.21;32980;166
80;"Asus";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";" HD Graphics 620";"linux";2.0;14811;141
81;"Asus";"Gaming";15.6;"medium";1920;1080;0;0;"AMD";"FX 9830P";"3.00";8;"HDD";"1024";"0";"AMD";" Radeon RX 560";"window";2.45;33513;141
82;"Dell";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";" GeForce GTX 1060";"window";2.65;74379;141
83;"Acer";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";2;"HDD";"1024";"0";"Nvidia";" GeForce MX150";"window";2.2;70063;141
84;"Asus";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"Nvidia";" GeForce 940MX";"linux";2.3;49444;100
85;"Acer";"Notebook";15.6;"medium";1920;1080;1;0;"Intel";"Core i5";"1.60";4;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";2.2;55891;141
86;"HP";"Notebook";13.3;"small";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Intel";" UHD Graphics 620";"window";1.49;34045;166
87;"Dell";"2 in 1 Convertible";17.3;"large";1920;1080;0;1;"Intel";"Core i5";"1.60";12;"HDD";"1024";"0";"Nvidia";" GeForce 150MX";"window";2.77;23816;127
88;"Dell";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";" GeForce GTX 1060";"window";2.65;21472;141
89;"Apple";"Ultrabook";13.3;"small";2560;1600;1;0;"Intel";"Core i5";"2.00";8;"SSD";"256";"0";"Intel";" Iris Graphics 540";"macos";1.37;23923;227
90;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.25;42890;157
91;"Asus";"Gaming";17.3;"large";1920;1080;0;0;"AMD";"Ryzen 1700";"3.00";8;"Hybrid";"256";"1024";"AMD";" Radeon RX 580";"window";3.2;38788;127
92;"Acer";"2 in 1 Convertible";13.3;"small";1920;1080;1;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.5;47100;166
93;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"AMD";" Radeon R5 M430";"window";2.3;57489;141
94;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"AMD";" Radeon R5 M430";"linux";2.2;30476;141
95;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"SSD";"256";"0";"AMD";" Radeon R5 M430";"linux";2.2;18541;141
96;"Asus";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.40";6;"SSD";"256";"0";"Nvidia";" GeForce 920M";"window";2.0;95851;141
97;"HP";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"2.80";12;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1050";"window";2.62;31861;141
98;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"AMD";" Radeon 530";"window";1.91;19368;141
99;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"AMD";"E-Series E2-9000e";"1.50";4;"HDD";"500";"0";"AMD";" Radeon R2";"window";2.1;52641;141
100;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"AMD";" Radeon 520";"linux";2.2;56503;141
101;"HP";"Ultrabook";13.3;"small";1920;1080;1;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Nvidia";" GeForce MX150";"window";1.38;13446;166
102;"Microsoft";"Ultrabook";13.5;"small";2256;1504;0;1;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.25;45501;201
103;"HP";"Notebook";14.0;"medium";1920;1080;1;0;"Intel";"Core i5";"2.50";6;"SSD";"256";"0";"Nvidia";" GeForce 940MX";"window";1.58;74965;157
104;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";" HD Graphics 520";"window";1.85;40173;141
105;"Asus";"Ultrabook";14.0;"medium";1920;1080;1;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Nvidia";" GeForce 940MX";"window";1.3;69211;157
106;"MSI";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";" GeForce GTX 1050 Ti";"window";2.2;18595;141
107;"Lenovo";"Notebook";14.0;"medium";1920;1080;1;0;"Intel";"Core i7";"2.70";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.58;52161;157
108;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"1024";"Nvidia";" GeForce MX150";"window";1.5;29251;141
109;"Dell";"Ultrabook";13.3;"small";3200;1800;0;1;"Intel";"Core i7";"2.40";8;"SSD";"256";"0";"Intel";" Iris Plus Graphics 640";"window";1.23;153705;276
110;"Lenovo";"2 in 1 Convertible";13.3;"small";1920;1080;1;1;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.37;79867;166
111;"HP";"Notebook";14.0;"medium";1366;768;1;0;"Intel";"Core i5";"1.60";4;"HDD";"500";"0";"Intel";" UHD Graphics 620";"window";1.63;26587;112
112;"Dell";"Ultrabook";13.3;"small";1920;1080;1;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.21;49651;166
113;"HP";"Notebook";14.0;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"512";"0";"Intel";" UHD Graphics 620";"window";1.63;31382;157
114;"Dell";"Notebook";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"1.80";8;"Hybrid";"256";"1024";"Nvidia";" GeForce 940MX";"window";2.16;78215;141
115;"Asus";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Nvidia";" GeForce 920MX";"window";2.0;27120;127
116;"Asus";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Nvidia";" GeForce 940MX";"window";1.7;54932;141
117;"Acer";"Notebook";15.6;"medium";1920;1080;1;1;"Intel";"Core i3";"2.40";6;"HDD";"1024";"0";"Intel";" HD Graphics 620";"window";2.1;113060;141
118;"MSI";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"2048";"Nvidia";" GeForce GTX 1070";"window";1.8;61219;141
119;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"SSD";"256";"0";"Nvidia";" GeForce 940MX";"N/A";2.2;34579;141
120;"HP";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"SSD";"512";"0";"Nvidia";" GeForce 930MX ";"window";2.5;68145;127
121;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"AMD";"A9-Series 9420";"3.00";4;"SSD";"256";"0";"AMD";" Radeon R5";"window";2.1;29251;100
122;"HP";"Notebook";14.0;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"HDD";"1024";"0";"Intel";" UHD Graphics 620";"window";1.63;36089;157
123;"Asus";"Notebook";14.0;"medium";1366;768;0;0;"AMD";"E-Series 6110";"1.50";4;"SSD";"64";"0";"AMD";" Radeon R2";"window";1.65;67399;112
124;"Dell";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"1.80";16;"Hybrid";"256";"2048";"AMD";" Radeon 530";"window";2.8;47899;127
125;"HP";"Notebook";17.3;"large";1920;1080;0;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";2.5;19180;127
126;"Dell";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";8;"HDD";"1024";"0";"AMD";" Radeon R7 M445";"window";2.36;72621;100
127;"Dell";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"AMD";" Radeon R5 M430";"window";2.2;105228;141
128;"Acer";"Ultrabook";14.0;"medium";1920;1080;1;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.6;55571;157
129;"Acer";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i3";"2.70";4;"SSD";"256";"0";"Nvidia";" GeForce MX130";"window";7.2;42304;141
130;"HP";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i7";"2.70";8;"HDD";"1024";"0";"Intel";" HD Graphics 620";"window";2.05;43636;100
131;"HP";"Notebook";14.0;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.63;130874;157
132;"Lenovo";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";" HD Graphics 500";"N/A";1.9;24988;100
133;"Asus";"Gaming";17.3;"large";1920;1080;0;0;"Intel";"Core i5";"2.50";8;"Hybrid";"128";"1024";"Nvidia";" GeForce GTX 1050";"window";3.0;44329;127
134;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"2.50";4;"HDD";"1024";"0";"Nvidia";" GeForce 920MX";"N/A";2.2;53227;141
135;"HP";"Notebook";13.3;"small";1920;1080;1;0;"Intel";"Core i5";"2.50";4;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.32;45768;166
136;"Acer";"Notebook";17.3;"large";1920;1080;1;0;"Intel";"Core i3";"2.70";4;"HDD";"1024";"0";"Nvidia";" GeForce MX130";"window";3.0;40972;127
137;"Lenovo";"Notebook";14.0;"medium";1920;1080;1;0;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"AMD";" Radeon RX 550";"window";1.75;133147;157
138;"HP";"Ultrabook";12.5;"small";3840;2160;1;1;"Intel";"Core M";"1.20";8;"SSD";"512";"0";"Intel";" HD Graphics 515";"window";0.97;47472;352
139;"Lenovo";"Gaming";15.6;"medium";1920;1080;1;0;"Intel";"Core i7";"2.80";8;"SSD";"256";"0";"Nvidia";" GeForce GTX 1050M";"N/A";2.4;111835;141
140;"Toshiba";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.30";4;"HDD";"500";"0";"Intel";" HD Graphics 520";"window";2.1;24988;100
141;"HP";"Notebook";15.6;"medium";1366;768;0;0;"AMD";"A6-Series 9220";"2.50";4;"SSD";"256";"0";"AMD";" Radeon R4 Graphics";"window";1.86;67612;100
142;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;0;"Intel";"Core i7";"1.80";8;"SSD";"256";"0";"Intel";" UHD Graphics 620";"window";1.25;14652;157
143;"Asus";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Celeron Dual";"1.10";4;"HDD";"1024";"0";"Intel";" HD Graphics 500";"window";2.0;21258;141
144;"Acer";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i3";"2.00";4;"HDD";"1024";"0";"Intel";" HD Graphics 520";"window";2.1;44968;100
145;"Dell";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"SSD";"512";"0";"Nvidia";" GeForce GTX 1050";"window";2.56;17582;141
146;"Dell";"Gaming";15.6;"medium";1920;1080;0;0;"Intel";"Core i7";"2.80";8;"Hybrid";"1024";"0";"Nvidia";" GeForce GTX 1050";"window";2.62;130483;141
147;"Lenovo";"Notebook";15.6;"medium";1366;768;0;0;"Intel";"Core i5";"2.50";4;"SSD";"128";"0";"Intel";" HD Graphics 620";"window";1.9;79867;100
148;"MSI";"Gaming";17.3;"large";1920;1080;0;0;"Intel";"Core i7";"2.80";16;"Hybrid";"256";"1024";"Nvidia";" GeForce GTX 1060";"window";2.8;45768;127
149;"HP";"Ultrabook";14.0;"medium";1920;1080;0;0;"Intel";"Core i5";"2.70";4;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.48;24503;157
150;"HP";"Notebook";15.6;"medium";1920;1080;0;0;"Intel";"Core i5";"1.60";6;"SSD";"256";"0";"AMD";" Radeon 520";"window";1.91;36710;141
151;"Lenovo";"2 in 1 Convertible";14.0;"medium";1920;1080;1;1;"Intel";"Core i3";"2.40";4;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.74;52214;157
152;"Asus";"2 in 1 Convertible";13.3;"small";1920;1080;0;1;"Intel";"Core i5";"1.60";8;"SSD";"256";"0";"Intel";" HD Graphics 620";"window";1.1;25841;166
